case,topography_files,source_file,soil_file,layer,layer_bottom_depth_m,gkc4,gkch,gkca,gkcm,gkcn,gkck
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,7,0.21,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,8,0.255,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,9,0.3,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,10,0.31,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,11,0.355,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,12,0.4,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,13,0.45,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,14,0.5,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,15,0.55,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,16,0.6,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,17,0.7,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,18,0.9,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/trough.csv,trough.csv,19,1.1,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,1,0.01,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,2,0.055,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,3,0.1,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,4,0.11,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,5,0.155,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,6,0.2,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,7,0.21,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,8,0.255,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,9,0.3,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,10,0.31,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,11,0.355,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,12,0.4,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,13,0.45,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,14,0.5,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,15,0.55,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,16,0.6,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra AK,bat,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra AK/ridge.csv,ridge.csv,17,0.7,0.1,0.25,0.25,0.6,0.16,3.0
