case,topography_files,source_file,soil_file,layer,layer_bottom_depth_m,gkc4,gkch,gkca,gkcm,gkcn,gkck
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,1,0.01,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,2,0.035,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,3,0.065,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,4,0.135,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,5,0.25,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,6,0.375,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,7,0.51,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,8,0.68,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,9,0.8,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,10,1.3,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,11,1.8,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto;dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlmtsoil,dlmtsoil,12,2.8,0.5,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,1,0.02,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,2,0.04,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,3,0.065,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,4,0.135,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,5,0.25,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,6,0.375,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,7,0.51,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,8,0.68,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,9,0.8,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,10,1.3,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,11,1.8,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmtto,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoil,dlfnsoil,12,2.8,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,1,0.02,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,2,0.04,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,3,0.065,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,4,0.135,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,5,0.25,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,6,0.375,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,7,0.51,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,8,0.68,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,9,0.8,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,10,1.3,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,11,1.8,0.1,0.25,0.25,0.6,0.16,3.0
Arctic Tundra NWT,dlmttox,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Arctic Tundra NWT/dlfnsoilx,dlfnsoilx,12,2.8,0.1,0.25,0.25,0.6,0.16,3.0
