case,topography_files,source_file,soil_file,layer,layer_bottom_depth_m,gkc4,gkch,gkca,gkcm,gkcn,gkck
Cool Temperate Oak MA,hatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Oak MA/hasoil,hasoil,1,0.01,0.1,0.25,0.25,0.6,0.16,3.0
Cool Temperate Oak MA,hatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Oak MA/hasoil,hasoil,2,0.02,0.1,0.25,0.25,0.6,0.16,3.0
Cool Temperate Oak MA,hatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Oak MA/hasoil,hasoil,3,0.04,0.1,0.25,0.25,0.6,0.16,3.0
Cool Temperate Oak MA,hatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Oak MA/hasoil,hasoil,4,0.08,0.1,0.25,0.25,0.6,0.16,3.0
Cool Temperate Oak MA,hatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Oak MA/hasoil,hasoil,5,0.12,0.1,0.25,0.25,0.6,0.16,3.0
Cool Temperate Oak MA,hatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Oak MA/hasoil,hasoil,6,0.18,0.1,0.25,0.25,0.6,0.16,3.0
Cool Temperate Oak MA,hatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Oak MA/hasoil,hasoil,7,0.34,0.1,0.25,0.25,0.6,0.16,3.0
Cool Temperate Oak MA,hatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Oak MA/hasoil,hasoil,8,0.53,0.1,0.25,0.25,0.6,0.16,3.0
Cool Temperate Oak MA,hatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Oak MA/hasoil,hasoil,9,1.6,0.1,0.25,0.25,0.6,0.16,3.0
Cool Temperate Oak MA,hatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Cool Temperate Oak MA/hasoil,hasoil,10,3.0,0.1,0.25,0.25,0.6,0.16,3.0
