case,topography_files,source_file,soil_file,layer,layer_bottom_depth_m,gkc4,gkch,gkca,gkcm,gkcn,gkck
Meditteranean Pasture CA,vatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Meditteranean Pasture CA/vasoil,vasoil,1,0.01,0.1,0.25,0.25,0.6,0.16,3.0
Meditteranean Pasture CA,vatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Meditteranean Pasture CA/vasoil,vasoil,2,0.05,0.1,0.25,0.25,0.6,0.16,3.0
Meditteranean Pasture CA,vatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Meditteranean Pasture CA/vasoil,vasoil,3,0.1,0.1,0.25,0.25,0.6,0.16,3.0
Meditteranean Pasture CA,vatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Meditteranean Pasture CA/vasoil,vasoil,4,0.15,0.1,0.25,0.25,0.6,0.16,3.0
Meditteranean Pasture CA,vatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Meditteranean Pasture CA/vasoil,vasoil,5,0.25,0.1,0.25,0.25,0.6,0.16,3.0
Meditteranean Pasture CA,vatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Meditteranean Pasture CA/vasoil,vasoil,6,0.35,0.1,0.25,0.25,0.6,0.16,3.0
Meditteranean Pasture CA,vatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Meditteranean Pasture CA/vasoil,vasoil,7,0.5,0.1,0.25,0.25,0.6,0.16,3.0
Meditteranean Pasture CA,vatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Meditteranean Pasture CA/vasoil,vasoil,8,0.75,0.1,0.25,0.25,0.6,0.16,3.0
Meditteranean Pasture CA,vatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Meditteranean Pasture CA/vasoil,vasoil,9,1.0,0.1,0.25,0.25,0.6,0.16,3.0
Meditteranean Pasture CA,vatopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Meditteranean Pasture CA/vasoil,vasoil,10,1.5,0.1,0.25,0.25,0.6,0.16,3.0
