case,topography_files,source_file,soil_file,layer,layer_bottom_depth_m,gkc4,gkch,gkca,gkcm,gkcn,gkck
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,1,0.01,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,2,0.05,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,3,0.15,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,4,0.16,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,5,0.2,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,6,0.25,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,7,0.4,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,8,0.6,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,9,0.8,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,10,1.0,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,11,1.2,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,12,1.4,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,13,1.6,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhum.csv,psoilhum.csv,14,1.8,0.25,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhol.csv,psoilhol.csv,4,0.01,0.01,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhol.csv,psoilhol.csv,5,0.05,0.01,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhol.csv,psoilhol.csv,6,0.15,0.01,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhol.csv,psoilhol.csv,7,0.16,0.01,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhol.csv,psoilhol.csv,8,0.2,0.01,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhol.csv,psoilhol.csv,9,0.25,0.01,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhol.csv,psoilhol.csv,10,0.4,0.01,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhol.csv,psoilhol.csv,11,0.6,0.01,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhol.csv,psoilhol.csv,12,0.8,0.01,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhol.csv,psoilhol.csv,13,1.0,0.01,0.25,0.25,0.6,0.16,3.0
Tropical Peatland Indonesia,ptopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Peatland Indonesia/psoilhol.csv,psoilhol.csv,14,1.2,0.01,0.25,0.25,0.6,0.16,3.0
