case,topography_files,source_file,soil_file,layer,layer_bottom_depth_m,gkc4,gkch,gkca,gkcm,gkcn,gkck
Tropical Rainforest Amazon,sr67topo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Rainforest Amazon/sr67soil,sr67soil,1,0.01,0.25,2.0,2.0,1.0,0.16,0.25
Tropical Rainforest Amazon,sr67topo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Rainforest Amazon/sr67soil,sr67soil,2,0.025,0.25,2.0,2.0,1.0,0.16,0.25
Tropical Rainforest Amazon,sr67topo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Rainforest Amazon/sr67soil,sr67soil,3,0.075,0.25,2.0,2.0,1.0,0.16,0.25
Tropical Rainforest Amazon,sr67topo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Rainforest Amazon/sr67soil,sr67soil,4,0.225,0.25,2.0,2.0,1.0,0.16,0.25
Tropical Rainforest Amazon,sr67topo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Rainforest Amazon/sr67soil,sr67soil,5,0.375,0.25,2.0,2.0,1.0,0.16,0.25
Tropical Rainforest Amazon,sr67topo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Rainforest Amazon/sr67soil,sr67soil,6,0.625,0.25,2.0,2.0,1.0,0.16,0.25
Tropical Rainforest Amazon,sr67topo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Rainforest Amazon/sr67soil,sr67soil,7,1.375,0.25,2.0,2.0,1.0,0.16,0.25
Tropical Rainforest Amazon,sr67topo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Rainforest Amazon/sr67soil,sr67soil,8,2.625,0.25,2.0,2.0,1.0,0.16,0.25
Tropical Rainforest Amazon,sr67topo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Rainforest Amazon/sr67soil,sr67soil,9,4.375,0.25,2.0,2.0,1.0,0.16,0.25
Tropical Rainforest Amazon,sr67topo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Rainforest Amazon/sr67soil,sr67soil,10,7.625,0.25,2.0,2.0,1.0,0.16,0.25
Tropical Rainforest Amazon,sr67topo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Tropical Rainforest Amazon/sr67soil,sr67soil,11,10.0,0.25,2.0,2.0,1.0,0.16,0.25
