case,topography_files,source_file,soil_file,layer,layer_bottom_depth_m,gkc4,gkch,gkca,gkcm,gkcn,gkck
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,1,0.01,0.025,2.0,2.0,1.0,0.025,0.025
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,2,0.05,0.025,2.0,2.0,1.0,0.025,0.025
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,3,0.1,0.025,2.0,2.0,1.0,0.025,0.025
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,4,0.15,0.025,2.0,2.0,1.0,0.025,0.025
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,5,0.18,0.025,2.0,2.0,1.0,0.025,0.025
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,6,0.28,0.025,2.0,2.0,1.0,0.025,0.025
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,7,0.35,0.025,2.0,2.0,1.0,0.025,0.025
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,8,0.59,0.025,2.0,2.0,1.0,0.025,0.025
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,9,0.92,0.025,2.0,2.0,1.0,0.025,0.025
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,10,1.32,0.025,2.0,2.0,1.0,0.025,0.025
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,11,1.6,0.025,2.0,2.0,1.0,0.025,0.025
Warm Temperate Maize-Soybean Dryland NB,metopo,/Users/jinyuntang/work/github/ECOSYS_workspace/ecosys16022024/ecosys benchmark runs 2024/Warm Temperate Maize-Soybean Dryland NB/mesoil,mesoil,12,2.0,0.025,2.0,2.0,1.0,0.025,0.025
