source,target,kind,resolution,file,absolute_file,line,statement
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,debugtoolmod::printinfo@f90src/debugtools/debugtoolmod.f90:26,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,44,call PrintInfo('beg '//subname)
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::start_timer@f90src/utils/timings.f90:45,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,45,if(do_timing)call start_timer(t1)
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,hour1mod::hour1@f90src/modelforc/hour1mod.f90:85,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,48,"CALL HOUR1(yearIJ%I,yearIJ%J,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::end_timer@f90src/utils/timings.f90:59,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,50,"if(do_timing)call end_timer('HOUR1',t1)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::start_timer@f90src/utils/timings.f90:45,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,54,if(do_timing)call start_timer(t1)
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,watsubmod::watsub@f90src/hydrotherm/soilphys/watsubmod.f90:82,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,55,"CALL WATSUB(yearIJ%I,yearIJ%J,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::end_timer@f90src/utils/timings.f90:59,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,56,"if(do_timing)call end_timer('WAT',t1)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::start_timer@f90src/utils/timings.f90:45,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,61,if(do_timing)call start_timer(t1)
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,micbgcapi::microbemodel@f90src/apis/micbgcapi.f90:80,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,62,"CALL MicrobeModel(yearIJ%I,yearIJ%J,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::end_timer@f90src/utils/timings.f90:59,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,63,"if(do_timing)call end_timer('NIT',t1)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,mldatadiagmod::mldatadiag@f90src/modeldiags/mldatadiagmod.f90:39,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,65,"if(lmicrobeMLdiag)call MLDataDiag(yearIJ,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::start_timer@f90src/utils/timings.f90:45,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,71,if(do_timing)call start_timer(t1)
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,plantmod::plantmodel@f90src/apis/plantmod.f90:33,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,72,"call PlantModel(yearIJ,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::end_timer@f90src/utils/timings.f90:59,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,73,"if(do_timing)call end_timer('PlantModel',t1)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::start_timer@f90src/utils/timings.f90:45,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,80,if(do_timing)call start_timer(t1)
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,geochemapi::solutemodel@f90src/apis/geochemapi.f90:23,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,81,"CALL soluteModel(yearIJ%I,yearIJ%J,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::end_timer@f90src/utils/timings.f90:59,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,82,"if(do_timing)call end_timer('soluteModel',t1)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::start_timer@f90src/utils/timings.f90:45,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,89,if(do_timing)call start_timer(t1)
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,transpnosaltmod::transpnosalt@f90src/transport/nonsalt/transpnosaltmod.f90:296,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,90,"CALL TranspNoSalt(yearIJ%I,yearIJ%J,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::end_timer@f90src/utils/timings.f90:59,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,91,"if(do_timing)call end_timer('TranspNoSalt',t1)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::start_timer@f90src/utils/timings.f90:45,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,98,if(do_timing)call start_timer(t1)
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,transpsaltmod::transpsalt@f90src/transport/salt/transpsaltmod.f90:41,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,99,"CALL TranspSalt(yearIJ%I,yearIJ%J,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::end_timer@f90src/utils/timings.f90:59,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,100,"if(do_timing)call end_timer('TranspSalt',t1)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::start_timer@f90src/utils/timings.f90:45,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,108,if(do_timing)call start_timer(t1)
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,erosionmod::erosion@f90src/disturbances/erosionmod.f90:62,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,109,"CALL EROSION(yearIJ%I,yearIJ%J,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::end_timer@f90src/utils/timings.f90:59,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,110,"if(do_timing)call end_timer('EROSION',t1)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::start_timer@f90src/utils/timings.f90:45,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,115,if(do_timing)call start_timer(t1)
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,redistmod::redist@f90src/balances/redistmod.f90:75,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,116,"CALL REDIST(yearIJ%I,yearIJ%J,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,timings::end_timer@f90src/utils/timings.f90:59,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,117,"if(do_timing)call end_timer('REDIST',t1)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,soildiagsmod::diagsoilgaspressure@f90src/modeldiags/soildiagsmod.f90:31,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,120,"call DiagSoilGasPressure(yearIJ%I,yearIJ%J,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,balancesmod::endcheckbalances@f90src/modeldiags/balancesmod.f90:170,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,122,"call EndCheckBalances(yearIJ%I,yearIJ%J,NHW,NHE,NVN,NVS)"
ecosimapi::run_ecosim_one_step@drivers/ecosim/ecosimapi.f90:36,debugtoolmod::printinfo@f90src/debugtools/debugtoolmod.f90:26,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,124,call PrintInfo('end '//subname)
ecosimapi::readnamelist@drivers/ecosim/ecosimapi.f90:127,generic::abortutils::endrun,subroutine,generic,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,252,"call endrun('stopped in '//trim(mod_filename), __LINE__)"
ecosimapi::readnamelist@drivers/ecosim/ecosimapi.f90:127,generic::abortutils::endrun,subroutine,generic,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,258,"call endrun('stopped in '//trim(mod_filename), __LINE__)"
ecosimapi::readnamelist@drivers/ecosim/ecosimapi.f90:127,dispatch::init,subroutine,type-bound-unresolved,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,273,"call etimer%Init(nml_buffer,year0=year0)"
ecosimapi::readnamelist@drivers/ecosim/ecosimapi.f90:127,ecosyswarmingmod::config_soil_warming@f90src/disturbances/ecosyswarmingmod.f90:167,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,298,if (len_trim(warming_exp) > 10)call config_soil_warming(warming_exp)
ecosimapi::readnamelist@drivers/ecosim/ecosimapi.f90:127,firemod::config_fire@f90src/disturbances/firemod.f90:24,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,299,call config_fire(FireEvents)
ecosimapi::readnamelist@drivers/ecosim/ecosimapi.f90:127,generic::abortutils::endrun,subroutine,generic,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,305,"call endrun('stopped in '//trim(mod_filename), __LINE__)"
ecosimapi::readnamelist@drivers/ecosim/ecosimapi.f90:127,microbeconfigmod::readmicrobenamelist@f90src/modelpars/microbeconfigmod.f90:12,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,321,call ReadMicrobeNamelist(nml_buffer)
ecosimapi::advancemodeloneyear@drivers/ecosim/ecosimapi.f90:326,debugtoolmod::printinfo@f90src/debugtools/debugtoolmod.f90:26,subroutine,use-associated,drivers/ecosim/EcoSIMAPI.F90,/Users/jinyuntang/work/github/ecosim_workspace/main/drivers/ecosim/EcoSIMAPI.F90,374,call PrintInfo('beg '//subname)
